pntP=[0.455 0.001 0.043 0.005 0 0.015 0.006 0 0.001 0.003 0.007 0 0.117 0.009 0.01 0.033 0.006 0 0 0.001 0.002 0.035 0.003 0.001 0.001 0.006 0.003 0.001 0.001 0 0 0.003 0.02 0 0.005 0.001 0.001 0.007 0.01 0 0.006 0.002 0.062 0 0.012 0 0 0.003 0.033 0 0.005 0.013 0 0 0.001 0 0 0.001 0.003 0 0.005 0.003 0 0.039;0.455 0.001 0.043 0.005 0.006 0 0 0.001 0.02 0 0.005 0.001 0.033 0 0.005 0.013 0 0.015 0.006 0 0.002 0.035 0.003 0.001 0.001 0.007 0.01 0 0 0 0.001 0 0.001 0.003 0.007 0 0.001 0.006 0.003 0.001 0.006 0.002 0.062 0 0 0.001 0.003 0 0.117 0.009 0.01 0.033 0.001 0 0 0.003 0.012 0 0 0.003 0.005 0.003 0 0.039;0.455 0.006 0.02 0.033 0 0.002 0.001 0 0.001 0.001 0.006 0 0.117 0.001 0.012 0.005 0.001 0 0 0 0.015 0.035 0.007 0 0.003 0.006 0.002 0.001 0.009 0 0 0.003 0.043 0 0.005 0.005 0.006 0.003 0.01 0.001 0.007 0.003 0.062 0.003 0.01 0 0 0 0.005 0.001 0.001 0.013 0 0.001 0 0 0 0.001 0 0 0.033 0.003 0.003 0.039;
0.445 0.001 0 0.062 0.04 0.009 0.002 0.004 0.001 0.004 0.011 0.004 0.093 0 0.002 0.03 0.005 0.001 0 0.001 0 0.029 0.002 0 0 0.005 0.003 0 0.003 0 0 0.003 0.021 0 0 0.001 0.001 0.002 0.001 0 0 0 0.002 0 0.005 0 0 0.001 0.046 0 0.001 0.025 0.001 0.003 0 0 0.001 0.001 0.001 0.007 0.008 0 0 0.112;0.445 0.001 0 0.062 0.005 0.001 0 0.001 0.021 0 0 0.001 0.046 0 0.001 0.025 0.04 0.009 0.002 0.004 0 0.029 0.002 0 0.001 0.002 0.001 0 0.001 0.003 0 0 0.001 0.004 0.011 0.004 0 0.005 0.003 0 0 0 0.002 0 0.001 0.001 0.001 0.007 0.093 0 0.002 0.03 0.003 0 0 0.003 0.005 0 0 0.001 0.008 0 0 0.112;0.445 0.005 0.021 0.046 0.04 0 0.001 0.001 0.001 0 0 0.001 0.093 0.003 0.005 0.008 0.001 0.001 0 0 0.009 0.029 0.002 0.003 0.004 0.005 0 0.001 0 0 0 0 0 0 0 0.001 0.002 0.002 0.001 0 0.011 0.003 0.002 0.001 0.002 0 0 0 0.062 0.001 0.001 0.025 0.004 0 0 0 0.004 0 0 0.007 0.03 0.003 0.001 0.112;
0.432 0.016 0.022 0.023 0.001 0.013 0.002 0.003 0.024 0.002 0.011 0 0.087 0.001 0.006 0.04 0.012 0.001 0 0.001 0.001 0.024 0 0.002 0 0.006 0.003 0.001 0.007 0.001 0 0.003 0.016 0 0.001 0.002 0.002 0 0.006 0 0.002 0.002 0.02 0.001 0.004 0 0 0.008 0.032 0.001 0.007 0.019 0 0.003 0.001 0.005 0.002 0.002 0.003 0 0.014 0.005 0.003 0.094;0.432 0.016 0.022 0.023 0.012 0.001 0 0.001 0.016 0 0.001 0.002 0.032 0.001 0.007 0.019 0.001 0.013 0.002 0.003 0.001 0.024 0 0.002 0.002 0 0.006 0 0 0.003 0.001 0.005 0.024 0.002 0.011 0 0 0.006 0.003 0.001 0.002 0.002 0.02 0.001 0.002 0.002 0.003 0 0.087 0.001 0.006 0.04 0.007 0.001 0 0.003 0.004 0 0 0.008 0.014 0.005 0.003 0.094;0.432 0.012 0.016 0.032 0.001 0.001 0.002 0 0.024 0 0.002 0.002 0.087 0.007 0.004 0.014 0.016 0.001 0 0.001 0.013 0.024 0 0.003 0.002 0.006 0.002 0.002 0.001 0.001 0 0.005 0.022 0 0.001 0.007 0.002 0 0.006 0.001 0.011 0.003 0.02 0.003 0.006 0 0 0.003 0.023 0.001 0.002 0.019 0.003 0.002 0 0.005 0 0.001 0.001 0 0.04 0.003 0.008 0.094;
0.459 0.004 0.035 0.019 0.024 0.008 0.004 0.001 0.04 0.001 0.001 0.002 0.059 0.002 0.007 0.049 0.013 0.003 0 0.001 0.002 0.026 0.001 0.002 0.001 0.003 0.005 0.001 0 0.003 0.001 0.001 0.013 0.002 0.002 0.002 0.001 0.005 0.004 0.002 0.002 0.003 0.054 0.003 0.001 0.002 0.002 0.005 0.044 0.002 0.003 0.003 0.002 0.001 0.002 0.003 0.001 0 0 0.003 0.005 0.001 0.001 0.048;0.459 0.004 0.035 0.019 0.013 0.003 0 0.001 0.013 0.002 0.002 0.002 0.044 0.002 0.003 0.003 0.024 0.008 0.004 0.001 0.002 0.026 0.001 0.002 0.001 0.005 0.004 0.002 0.002 0.001 0.002 0.003 0.04 0.001 0.001 0.002 0.001 0.003 0.005 0.001 0.002 0.003 0.054 0.003 0.001 0 0 0.003 0.059 0.002 0.007 0.049 0 0.003 0.001 0.001 0.001 0.002 0.002 0.005 0.005 0.001 0.001 0.048;0.459 0.013 0.013 0.044 0.024 0.002 0.001 0.002 0.04 0.001 0.002 0.001 0.059 0 0.001 0.005 0.004 0.003 0.002 0.002 0.008 0.026 0.005 0.001 0.001 0.003 0.003 0 0.002 0.003 0.002 0.001 0.035 0 0.002 0.003 0.004 0.001 0.004 0.002 0.001 0.005 0.054 0 0.007 0.001 0.002 0.001 0.019 0.001 0.002 0.003 0.001 0.002 0.002 0.003 0.002 0.001 0.003 0.003 0.049 0.001 0.005 0.048;
0.441 0.015 0.022 0.014 0.058 0.016 0.004 0.011 0.064 0 0.022 0.008 0.008 0 0.003 0.037 0.006 0.005 0.001 0 0 0.018 0.001 0.001 0.004 0 0.006 0 0.001 0.006 0 0 0.003 0.004 0.013 0 0.001 0.003 0.001 0.002 0.004 0.005 0.08 0.003 0 0.002 0.01 0.001 0.057 0.002 0.003 0.002 0.005 0.003 0.001 0.002 0.003 0.001 0 0.004 0 0.003 0 0.01;0.441 0.015 0.022 0.014 0.006 0.005 0.001 0 0.003 0.004 0.013 0 0.057 0.002 0.003 0.002 0.058 0.016 0.004 0.011 0 0.018 0.001 0.001 0.001 0.003 0.001 0.002 0.005 0.003 0.001 0.002 0.064 0 0.022 0.008 0.004 0 0.006 0 0.004 0.005 0.08 0.003 0.003 0.001 0 0.004 0.008 0 0.003 0.037 0.001 0.006 0 0 0 0.002 0.01 0.001 0 0.003 0 0.01;0.441 0.006 0.003 0.057 0.058 0 0.001 0.005 0.064 0.004 0.004 0.003 0.008 0.001 0 0 0.015 0.005 0.004 0.002 0.016 0.018 0.003 0.003 0 0 0.005 0.001 0 0.006 0.002 0.003 0.022 0.001 0.013 0.003 0.004 0.001 0.001 0.001 0.022 0.006 0.08 0 0.003 0 0.01 0 0.014 0 0 0.002 0.011 0.001 0.002 0.002 0.008 0 0.003 0.004 0.037 0 0.001 0.01;
0.478 0.011 0.023 0.025 0.019 0.022 0.003 0.002 0.007 0.001 0.009 0.002 0.087 0.001 0.005 0.031 0.017 0.006 0.001 0.001 0.005 0.057 0.006 0.009 0 0.018 0.006 0.002 0.003 0 0 0 0.036 0.002 0.001 0.001 0 0.003 0.005 0.001 0.005 0.003 0.033 0 0.009 0.001 0.002 0.004 0.011 0 0 0 0.001 0.011 0 0 0.001 0 0.004 0.001 0.004 0.001 0 0.003;0.478 0.011 0.023 0.025 0.017 0.006 0.001 0.001 0.036 0.002 0.001 0.001 0.011 0 0 0 0.019 0.022 0.003 0.002 0.005 0.057 0.006 0.009 0 0.003 0.005 0.001 0.001 0.011 0 0 0.007 0.001 0.009 0.002 0 0.018 0.006 0.002 0.005 0.003 0.033 0 0.001 0 0.004 0.001 0.087 0.001 0.005 0.031 0.003 0 0 0 0.009 0.001 0.002 0.004 0.004 0.001 0 0.003;0.478 0.017 0.036 0.011 0.019 0.005 0 0.001 0.007 0 0.005 0.001 0.087 0.003 0.009 0.004 0.011 0.006 0.002 0 0.022 0.057 0.003 0.011 0.001 0.018 0.003 0 0.001 0 0.001 0.001 0.023 0.001 0.001 0 0.003 0.006 0.005 0 0.009 0.006 0.033 0.004 0.005 0 0.002 0 0.025 0.001 0.001 0 0.002 0.009 0.001 0 0.002 0.002 0 0.001 0.031 0 0.004 0.003;
0.44 0.018 0.021 0.015 0.021 0.02 0.002 0.009 0.015 0.007 0.013 0 0.077 0.005 0.004 0.04 0.028 0.001 0.001 0.002 0.003 0.019 0 0.001 0.002 0.007 0.002 0 0.005 0 0 0.008 0.028 0.001 0.003 0.001 0 0.003 0.014 0 0.001 0.002 0.054 0.003 0.001 0.001 0.004 0.006 0.003 0.001 0.001 0.006 0 0.002 0.002 0 0.001 0.001 0.006 0.002 0.004 0 0.001 0.062;0.44 0.018 0.021 0.015 0.028 0.001 0.001 0.002 0.028 0.001 0.003 0.001 0.003 0.001 0.001 0.006 0.021 0.02 0.002 0.009 0.003 0.019 0 0.001 0 0.003 0.014 0 0 0.002 0.002 0 0.015 0.007 0.013 0 0.002 0.007 0.002 0 0.001 0.002 0.054 0.003 0.001 0.001 0.006 0.002 0.077 0.005 0.004 0.04 0.005 0 0 0.008 0.001 0.001 0.004 0.006 0.004 0 0.001 0.062;0.44 0.028 0.028 0.003 0.021 0.003 0 0 0.015 0.002 0.001 0.001 0.077 0.005 0.001 0.004 0.018 0.001 0.001 0.001 0.02 0.019 0.003 0.002 0.007 0.007 0.002 0.001 0.005 0 0.001 0 0.021 0.001 0.003 0.001 0.002 0 0.014 0.002 0.013 0.002 0.054 0.006 0.004 0 0.004 0.001 0.015 0.002 0.001 0.006 0.009 0.001 0 0 0 0 0.003 0.002 0.04 0.008 0.006 0.062;
0.445 0.019 0.031 0.014 0.045 0.012 0.004 0.001 0 0.003 0.006 0.004 0.086 0.002 0.008 0.026 0.005 0.006 0.001 0.002 0.01 0.088 0.003 0 0 0.006 0.01 0.002 0 0 0 0.002 0.022 0 0.002 0.001 0.005 0.012 0.009 0.001 0.004 0.001 0.033 0.001 0.004 0 0 0 0.034 0.005 0.003 0.002 0.002 0.003 0.002 0.001 0 0 0 0.001 0.004 0.001 0.001 0.005;0.445 0.019 0.031 0.014 0.005 0.006 0.001 0.002 0.022 0 0.002 0.001 0.034 0.005 0.003 0.002 0.045 0.012 0.004 0.001 0.01 0.088 0.003 0 0.005 0.012 0.009 0.001 0.002 0.003 0.002 0.001 0 0.003 0.006 0.004 0 0.006 0.01 0.002 0.004 0.001 0.033 0.001 0 0 0 0.001 0.086 0.002 0.008 0.026 0 0 0 0.002 0.004 0 0 0 0.004 0.001 0.001 0.005;0.445 0.005 0.022 0.034 0.045 0.01 0.005 0.002 0 0 0.004 0 0.086 0 0.004 0.004 0.019 0.006 0 0.005 0.012 0.088 0.012 0.003 0.003 0.006 0.001 0 0.002 0 0 0.001 0.031 0.001 0.002 0.003 0.004 0.003 0.009 0.002 0.006 0.01 0.033 0 0.008 0 0 0.001 0.014 0.002 0.001 0.002 0.001 0 0.001 0.001 0.004 0.002 0.001 0.001 0.026 0.002 0 0.005;
0.425 0.009 0.004 0.043 0.066 0.024 0.004 0.011 0.003 0.001 0.006 0.004 0.046 0.001 0.002 0.042 0.016 0.01 0.002 0 0.003 0.067 0.008 0.001 0 0.005 0.005 0 0.003 0.002 0.001 0.003 0.02 0.001 0 0.001 0.006 0.006 0.005 0 0 0.003 0.031 0.001 0.002 0 0.007 0.008 0.015 0.001 0 0.002 0.004 0.006 0 0.001 0.001 0 0.005 0.005 0.008 0 0 0.044;0.425 0.009 0.004 0.043 0.016 0.01 0.002 0 0.02 0.001 0 0.001 0.015 0.001 0 0.002 0.066 0.024 0.004 0.011 0.003 0.067 0.008 0.001 0.006 0.006 0.005 0 0.004 0.006 0 0.001 0.003 0.001 0.006 0.004 0 0.005 0.005 0 0 0.003 0.031 0.001 0.001 0 0.005 0.005 0.046 0.001 0.002 0.042 0.003 0.002 0.001 0.003 0.002 0 0.007 0.008 0.008 0 0 0.044;0.425 0.016 0.02 0.015 0.066 0.003 0.006 0.004 0.003 0 0 0.001 0.046 0.003 0.002 0.008 0.009 0.01 0.001 0.001 0.024 0.067 0.006 0.006 0.001 0.005 0.003 0 0.001 0.002 0 0 0.004 0.002 0 0 0.004 0.008 0.005 0 0.006 0.005 0.031 0.005 0.002 0.001 0.007 0 0.043 0 0.001 0.002 0.011 0.001 0 0.001 0.004 0 0.001 0.005 0.042 0.003 0.008 0.044;
0.478 0.006 0.006 0.034 0.022 0.016 0.002 0.005 0.013 0.005 0.011 0.002 0.09 0 0.003 0.038 0.002 0.002 0 0 0 0.001 0.002 0 0 0 0.001 0 0 0 0 0.001 0.002 0.001 0 0 0 0.001 0.001 0 0.001 0 0.008 0 0 0 0.001 0 0.063 0 0.001 0.024 0.002 0.004 0.002 0.007 0.004 0.003 0.003 0.008 0.025 0.001 0.001 0.097;0.478 0.006 0.006 0.034 0.002 0.002 0 0 0.002 0.001 0 0 0.063 0 0.001 0.024 0.022 0.016 0.002 0.005 0 0.001 0.002 0 0 0.001 0.001 0 0.002 0.004 0.002 0.007 0.013 0.005 0.011 0.002 0 0 0.001 0 0.001 0 0.008 0 0.004 0.003 0.003 0.008 0.09 0 0.003 0.038 0 0 0 0.001 0 0 0.001 0 0.025 0.001 0.001 0.097;0.478 0.002 0.002 0.063 0.022 0 0 0.002 0.013 0 0.001 0.004 0.09 0 0 0.025 0.006 0.002 0.001 0 0.016 0.001 0.001 0.004 0.005 0 0 0.003 0 0 0 0.001 0.006 0 0 0.001 0.002 0.002 0.001 0.002 0.011 0.001 0.008 0.003 0.003 0 0.001 0.001 0.034 0 0 0.024 0.005 0 0 0.007 0.002 0 0 0.008 0.038 0.001 0 0.097;
