pntP=[0.57 0 0 0.01 0.08 0 0 0 0.06 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0.03;0.57 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0.17 0 0 0 0 0.01 0 0 0 0 0.02 0.06 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03;0.57 0.01 0 0 0.08 0 0 0 0.06 0 0 0 0.02 0 0 0 0 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0.03;
0.55 0 0 0.01 0.06 0 0 0 0.01 0 0 0 0.11 0 0 0 0 0 0 0 0 0.06 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0.06 0 0 0 0 0 0 0 0 0.05 0 0.01 0 0 0 0 0 0 0 0 0 0.04;0.55 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.05 0.06 0 0 0 0 0.06 0 0 0 0 0.02 0 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.06 0 0 0 0 0 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04;0.55 0 0.01 0 0.06 0 0 0 0.01 0 0 0 0.11 0 0 0 0 0 0 0 0 0.06 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.06 0 0 0 0 0 0.01 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0.04;
0.51 0 0 0 0.04 0 0 0 0.05 0 0 0 0.11 0 0 0.01 0 0.01 0 0 0 0.05 0 0 0 0 0 0 0 0.02 0 0 0 0 0.03 0 0 0 0.01 0 0.01 0 0.02 0.01 0 0 0.01 0 0 0 0 0.02 0 0 0 0.01 0 0 0 0.01 0 0 0 0.07;0.51 0 0 0 0 0.01 0 0 0 0 0.03 0 0 0 0 0.02 0.04 0 0 0 0 0.05 0 0 0 0 0.01 0 0 0 0 0.01 0.05 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0 0.01 0.11 0 0 0.01 0 0.02 0 0 0 0 0.01 0 0 0 0 0.07;0.51 0 0 0 0.04 0 0 0 0.05 0 0.01 0 0.11 0 0 0 0 0.01 0 0 0 0.05 0 0 0 0 0 0 0 0.02 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0.07;
0.57 0 0 0 0.01 0 0 0 0.07 0 0 0 0.07 0 0 0 0 0 0 0 0 0.06 0 0 0 0.01 0.01 0 0 0.03 0 0 0 0 0.02 0 0 0 0.02 0 0.01 0 0.05 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.03;0.57 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0.01 0 0 0 0 0.06 0 0 0 0 0.02 0 0 0 0 0.01 0.07 0 0 0 0 0.01 0.01 0 0.01 0 0.05 0 0 0 0 0 0.07 0 0 0 0 0.03 0 0 0 0 0.02 0 0 0 0 0.03;0.57 0 0 0 0.01 0 0 0 0.07 0 0.01 0 0.07 0 0 0 0 0 0 0 0 0.06 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0.02 0 0 0 0.02 0 0 0.01 0.05 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.03;
0.42 0 0 0 0.06 0 0 0 0.07 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.07 0 0 0 0.01 0 0.01 0 0 0.04 0 0 0 0 0 0 0 0.02 0 0 0 0.13;0.42 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.04 0.06 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.07 0 0 0 0 0.01 0 0 0 0 0.07 0 0 0 0 0.02 0.15 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.13;0.42 0 0 0.01 0.06 0 0 0 0.07 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.07 0 0 0 0.01 0 0 0 0 0.04 0 0 0 0 0 0 0 0.02 0 0 0 0.13;
0.59 0.01 0 0 0.02 0.01 0 0 0.01 0 0 0 0.16 0 0 0 0 0 0 0 0 0.04 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0.11;0.59 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11;0.59 0 0 0 0.02 0 0 0 0.01 0 0 0 0.16 0 0 0 0.01 0 0 0 0.01 0.04 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0.11;
0.57 0 0 0 0.06 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0.06 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;0.57 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.06 0 0 0 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.07 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0;0.57 0 0 0.01 0.06 0 0 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0.06 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0;
0.58 0 0 0 0.14 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0.16;0.58 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16;0.58 0 0 0.01 0.14 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0.16;
0.51 0.01 0 0 0.02 0 0 0 0.13 0 0.01 0 0.03 0.01 0 0.01 0 0 0 0 0 0.06 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0.11;0.51 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.06 0 0 0 0 0 0 0 0 0 0.03 0.13 0 0.01 0 0 0.01 0 0 0 0 0.02 0 0.01 0 0 0 0.03 0.01 0 0.01 0 0.02 0 0 0 0 0.01 0 0 0 0 0.11;0.51 0 0 0 0.02 0 0 0 0.13 0 0 0.01 0.03 0 0 0 0.01 0 0 0 0 0.06 0 0 0 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0.01 0 0 0.11;
0.5 0 0 0 0 0 0 0 0 0 0 0 0.17 0 0 0.01 0 0 0 0 0 0.04 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.11 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.07;0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.04 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0.11 0 0 0 0 0 0.17 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.07;0.5 0 0 0 0 0 0 0 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0.04 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.11 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0.07;
