pntP=[0.151 0.035 0.083 0.039 0.028 0.03 0.018 0.04 0.023 0.055 0.081 0.016 0.038 0.015 0.016 0.056 0.014 0.027 0.016 0.012 0.029 0.009 0.011 0.017 0.01 0.03 0.026 0.007 0.009 0.014 0.012 0.007 0.005 0.005 0.005 0.011;0.151 0.035 0.083 0.081 0.016 0.038 0.015 0.026 0.007 0.009 0.039 0.028 0.03 0.018 0.016 0.056 0.014 0.027 0.014 0.012 0.007 0.005 0.011 0.03 0.01 0.017 0.04 0.023 0.055 0.016 0.012 0.029 0.009 0.005 0.005 0.011;0.151 0.081 0.026 0.039 0.016 0.014 0.011 0.04 0.016 0.005 0.035 0.016 0.007 0.015 0.028 0.056 0.012 0.03 0.023 0.012 0.005 0.009 0.018 0.017 0.005 0.027 0.083 0.038 0.009 0.03 0.014 0.007 0.01 0.055 0.029 0.011;
0.146 0.063 0.034 0.03 0.066 0.013 0.026 0.048 0.034 0.05 0.071 0.016 0.02 0.02 0.02 0.052 0.015 0.017 0.025 0.011 0.024 0.009 0.011 0.022 0.01 0.045 0.024 0.009 0.007 0.007 0.024 0.004 0.008 0.004 0.005 0.01;0.146 0.063 0.034 0.071 0.016 0.02 0.02 0.024 0.009 0.007 0.03 0.066 0.013 0.026 0.02 0.052 0.015 0.017 0.007 0.024 0.004 0.008 0.011 0.045 0.01 0.022 0.048 0.034 0.05 0.025 0.011 0.024 0.009 0.004 0.005 0.01;0.146 0.071 0.024 0.03 0.02 0.007 0.011 0.048 0.025 0.004 0.063 0.016 0.009 0.02 0.066 0.052 0.024 0.045 0.034 0.011 0.005 0.009 0.026 0.022 0.008 0.017 0.034 0.02 0.007 0.013 0.015 0.004 0.01 0.05 0.024 0.01;
0.161 0.039 0.066 0.009 0.084 0.014 0.035 0.052 0.019 0.044 0.093 0.009 0.028 0.011 0.008 0.048 0.006 0.025 0.031 0.005 0.025 0.006 0.006 0.018 0.008 0.027 0.025 0.006 0.011 0.002 0.024 0.003 0.012 0.01 0.008 0.022;0.161 0.039 0.066 0.093 0.009 0.028 0.011 0.025 0.006 0.011 0.009 0.084 0.014 0.035 0.008 0.048 0.006 0.025 0.002 0.024 0.003 0.012 0.006 0.027 0.008 0.018 0.052 0.019 0.044 0.031 0.005 0.025 0.006 0.01 0.008 0.022;0.161 0.093 0.025 0.009 0.008 0.002 0.006 0.052 0.031 0.01 0.039 0.009 0.006 0.011 0.084 0.048 0.024 0.027 0.019 0.005 0.008 0.006 0.035 0.018 0.012 0.025 0.066 0.028 0.011 0.014 0.006 0.003 0.008 0.044 0.025 0.022;
0.139 0.076 0.041 0.024 0.082 0.019 0.031 0.056 0.023 0.036 0.04 0.013 0.011 0.01 0.007 0.024 0.006 0.006 0.009 0.009 0.011 0.004 0.007 0.01 0.007 0.016 0.069 0.035 0.011 0.007 0.039 0.012 0.018 0.032 0.02 0.04;0.139 0.076 0.041 0.04 0.013 0.011 0.01 0.069 0.035 0.011 0.024 0.082 0.019 0.031 0.007 0.024 0.006 0.006 0.007 0.039 0.012 0.018 0.007 0.016 0.007 0.01 0.056 0.023 0.036 0.009 0.009 0.011 0.004 0.032 0.02 0.04;0.139 0.04 0.069 0.024 0.007 0.007 0.007 0.056 0.009 0.032 0.076 0.013 0.035 0.01 0.082 0.024 0.039 0.016 0.023 0.009 0.02 0.004 0.031 0.01 0.018 0.006 0.041 0.011 0.011 0.019 0.006 0.012 0.007 0.036 0.011 0.04;
0.162 0.105 0.008 0.081 0.078 0.028 0.022 0.011 0.018 0.025 0.05 0.022 0.002 0.016 0.018 0.034 0.011 0.005 0.008 0.013 0.031 0.004 0.013 0.005 0.007 0.021 0.037 0.036 0.009 0.01 0.038 0.012 0.01 0.006 0.018 0.026;0.162 0.105 0.008 0.05 0.022 0.002 0.016 0.037 0.036 0.009 0.081 0.078 0.028 0.022 0.018 0.034 0.011 0.005 0.01 0.038 0.012 0.01 0.013 0.021 0.007 0.005 0.011 0.018 0.025 0.008 0.013 0.031 0.004 0.006 0.018 0.026;0.162 0.05 0.037 0.081 0.018 0.01 0.013 0.011 0.008 0.006 0.105 0.022 0.036 0.016 0.078 0.034 0.038 0.021 0.018 0.013 0.018 0.004 0.022 0.005 0.01 0.005 0.008 0.002 0.009 0.028 0.011 0.012 0.007 0.025 0.031 0.026;
0.166 0.099 0.014 0.049 0.07 0.023 0.02 0.011 0.033 0.031 0.067 0.015 0.01 0.023 0.018 0.054 0.02 0.009 0.003 0.011 0.03 0.013 0.019 0.009 0.006 0.031 0.033 0.018 0.001 0.008 0.031 0.011 0.001 0.004 0.015 0.024;0.166 0.099 0.014 0.067 0.015 0.01 0.023 0.033 0.018 0.001 0.049 0.07 0.023 0.02 0.018 0.054 0.02 0.009 0.008 0.031 0.011 0.001 0.019 0.031 0.006 0.009 0.011 0.033 0.031 0.003 0.011 0.03 0.013 0.004 0.015 0.024;0.166 0.067 0.033 0.049 0.018 0.008 0.019 0.011 0.003 0.004 0.099 0.015 0.018 0.023 0.07 0.054 0.031 0.031 0.033 0.011 0.015 0.013 0.02 0.009 0.001 0.009 0.014 0.01 0.001 0.023 0.02 0.011 0.006 0.031 0.03 0.024;
0.138 0.047 0.037 0.034 0.1 0.028 0.036 0.039 0.023 0.017 0.061 0.018 0.02 0.016 0.017 0.049 0.013 0.011 0.014 0.008 0.024 0.004 0.01 0.023 0.008 0.025 0.056 0.013 0.016 0.005 0.035 0.01 0.015 0.013 0.008 0.009;0.138 0.047 0.037 0.061 0.018 0.02 0.016 0.056 0.013 0.016 0.034 0.1 0.028 0.036 0.017 0.049 0.013 0.011 0.005 0.035 0.01 0.015 0.01 0.025 0.008 0.023 0.039 0.023 0.017 0.014 0.008 0.024 0.004 0.013 0.008 0.009;0.138 0.061 0.056 0.034 0.017 0.005 0.01 0.039 0.014 0.013 0.047 0.018 0.013 0.016 0.1 0.049 0.035 0.025 0.023 0.008 0.008 0.004 0.036 0.023 0.015 0.011 0.037 0.02 0.016 0.028 0.013 0.01 0.008 0.017 0.024 0.009;
0.155 0.07 0.027 0.045 0.051 0.03 0.022 0.014 0.029 0.06 0.031 0.021 0.009 0.016 0.019 0.067 0.015 0.009 0.01 0.006 0.014 0.005 0.017 0.011 0.018 0.041 0.059 0.023 0.013 0.023 0.018 0.008 0.007 0.005 0.011 0.021;0.155 0.07 0.027 0.031 0.021 0.009 0.016 0.059 0.023 0.013 0.045 0.051 0.03 0.022 0.019 0.067 0.015 0.009 0.023 0.018 0.008 0.007 0.017 0.041 0.018 0.011 0.014 0.029 0.06 0.01 0.006 0.014 0.005 0.005 0.011 0.021;0.155 0.031 0.059 0.045 0.019 0.023 0.017 0.014 0.01 0.005 0.07 0.021 0.023 0.016 0.051 0.067 0.018 0.041 0.029 0.006 0.011 0.005 0.022 0.011 0.007 0.009 0.027 0.009 0.013 0.03 0.015 0.008 0.018 0.06 0.014 0.021;
0.147 0.105 0.011 0.037 0.073 0.031 0.016 0.013 0.046 0.039 0.079 0.031 0.007 0.021 0.022 0.04 0.014 0.01 0.009 0.016 0.036 0.014 0.011 0.006 0.008 0.03 0.018 0.019 0.002 0.006 0.018 0.015 0.004 0.001 0.015 0.03;0.147 0.105 0.011 0.079 0.031 0.007 0.021 0.018 0.019 0.002 0.037 0.073 0.031 0.016 0.022 0.04 0.014 0.01 0.006 0.018 0.015 0.004 0.011 0.03 0.008 0.006 0.013 0.046 0.039 0.009 0.016 0.036 0.014 0.001 0.015 0.03;0.147 0.079 0.018 0.037 0.022 0.006 0.011 0.013 0.009 0.001 0.105 0.031 0.019 0.021 0.073 0.04 0.018 0.03 0.046 0.016 0.015 0.014 0.016 0.006 0.004 0.01 0.011 0.007 0.002 0.031 0.014 0.015 0.008 0.039 0.036 0.03;
0.15 0.066 0.049 0.029 0.053 0.038 0.023 0.028 0.02 0.056 0.055 0.013 0.026 0.01 0.011 0.019 0.012 0.005 0.017 0.012 0.04 0.008 0.014 0.004 0.011 0.024 0.036 0.011 0.017 0.02 0.025 0.02 0.007 0.012 0.016 0.043;0.15 0.066 0.049 0.055 0.013 0.026 0.01 0.036 0.011 0.017 0.029 0.053 0.038 0.023 0.011 0.019 0.012 0.005 0.02 0.025 0.02 0.007 0.014 0.024 0.011 0.004 0.028 0.02 0.056 0.017 0.012 0.04 0.008 0.012 0.016 0.043;0.15 0.055 0.036 0.029 0.011 0.02 0.014 0.028 0.017 0.012 0.066 0.013 0.011 0.01 0.053 0.019 0.025 0.024 0.02 0.012 0.016 0.008 0.023 0.004 0.007 0.005 0.049 0.026 0.017 0.038 0.012 0.02 0.011 0.056 0.04 0.043;
